,Company,Industry,Classified Industry,Country
355,CV. Kerja Cerdas Inovatif,,"Transportation, Logistics & Automotive",Indonesia
356,CVista HR Consulting Pte Ltd,Staffing and Recruiting,Professional Services,Singapore
357,Cyberquote Indonesia PT,,Information Technology & Services,Indonesia
358,D Cube Analytics,Pharmaceuticals,Health Care,Singapore
359,D L Resources Pte Ltd,Staffing and Recruiting,Professional Services,Singapore
360,Dairy Farm Group,,Consumer Retail,Philippines
361,DAISO SINGAPORE PTE. LTD.,,Consumer Retail,Singapore
362,Dalstrong,,Consumer Retail,Philippines
363,DANA Indonesia,Financial Services,"Banking, Finance & Insurance",Indonesia
364,DANISH KHONSTRUKT INC. - Batangas,,Industrials & Capital Goods,Philippines
365,Dans Multi Pro,Information Technology / IT,Information Technology & Services,Indonesia
366,Darshana Design Studio,Design,Professional Services,Indonesia
367,Dassault Systemes,,Information Technology & Services,Singapore
368,Data Analytics Ventures Inc. (DAVI),Information Services,Information Technology & Services,Philippines
369,Data Laboratory,,Information Technology & Services,Philippines
370,Dataiku,Information Technology,Information Technology & Services,Singapore
371,Datamatics,,Information Technology & Services,Philippines
372,DataSpark,Internet,Information Technology & Services,Singapore
373,Dathena,,Information Technology & Services,Singapore
374,Dayasitel,,Telecommunications & Media,Indonesia
375,DBS Bank,,"Banking, Finance & Insurance",Singapore
376,DBS Bank Limited,Banking / Financial Services,"Banking, Finance & Insurance",Singapore
377,DBS BANK LTD.,Finance,"Banking, Finance & Insurance",Singapore
378,DC FRONTIERS PTE. LTD.,,Information Technology & Services,Singapore
379,DCI CONSULTANTS PRIVATE LIMITED,,Professional Services,Singapore
380,DDT Konstract,,Industrials & Capital Goods,Philippines
381,Defence Science and Technology Agency,,Government,Singapore
382,Dekoruma,,Information Technology & Services,Indonesia
383,DELL,Information Technology,Information Technology & Services,Singapore
384,Dell Technologies,,Information Technology & Services,Singapore
385,delman.io,,Information Technology & Services,Indonesia
386,Deloitte & Touche LLP,Management consulting,Professional Services,Singapore
387,"Deltek, Inc.",,Information Technology & Services,Philippines
388,"Deployed Philippines, Inc.",BPO,Professional Services,Philippines
389,detikcom,,Telecommunications & Media,Indonesia
390,Deutsche Bank,,"Banking, Finance & Insurance",Philippines
391,Dexa Group,,Health Care,Indonesia
392,DFS VENTURE SINGAPORE (PTE) LIMITED,,Real Estate,Singapore
393,DHL Express,,"Transportation, Logistics & Automotive",Philippines
394,DHL Express (Singapore) Pte. Ltd,,"Transportation, Logistics & Automotive",Singapore
395,DHL EXPRESS (SINGAPORE) PTE. LTD.,Transportation & Logistics,"Transportation, Logistics & Automotive",Singapore
396,Digital Matter,,Professional Services,Philippines
397,Digital Services Cambridge Limited ROHQ,,Information Technology & Services,Philippines
398,DIGITAL SPRING MARKETING AND ADVERTISING INC.,,Professional Services,Philippines
399,DIREC BUSINESS TECHNOLOGIES INC.,Information Technology / IT,Information Technology & Services,Philippines
400,Direct Search Asia,,Professional Services,Indonesia
401,Direct Sourcing Solutions,,Professional Services,Philippines
402,DISCO HI-TEC (SINGAPORE) PTE LTD,Semiconductors,Information Technology & Services,Singapore
403,Distribution Solutions Phils Inc.,Pharmaceuticals,Health Care,Philippines
404,DITO Telecommunity Corporation,,Telecommunications & Media,Philippines
405,Djelas Tandatangan Bersama,Information Technology / IT,Information Technology & Services,Indonesia
406,DKATALIS PRIVATE LIMITED,,Information Technology & Services,Singapore
407,DKatalis Singapore,Information Technology,Information Technology & Services,Singapore
408,DMCI Homes,,Real Estate,Philippines
409,DOCTORXDENTIST PTE. LTD.,Health wellness and fitness,Health Care,Singapore
410,DomaiNesia,,Information Technology & Services,Indonesia
411,Dow Technologies and Systems,Information Technology,Information Technology & Services,Singapore
412,DOW TECHNOLOGIES AND SYSTEMS PTE. LTD.,,Information Technology & Services,Singapore
413,"Doxo Ingredients, Inc.",,Information Technology & Services,Philippines
414,DRW Trading Group,Finance,"Banking, Finance & Insurance",Singapore
415,DSO National Laboratories,,Government,Singapore
416,DSV AIR & SEA SINGAPORE PTE. LTD.,,"Transportation, Logistics & Automotive",Singapore
417,DTCC Manila,,"Banking, Finance & Insurance",Philippines
